AreaName,Year,Population
Richmond,2020,42946
Wilson,2020,78784
Sampson,1990,47297
Sampson,2000,60161
Pitt,1990,108480
Rockingham,2000,91928
Pitt,2020,170243
Yancey,2000,17774
Stokes,2010,47401
Stanly,2010,60585
Surry,2000,71209
Stokes,2000,44711
Robeson,1990,105170
Stokes,2020,44520
Tyrrell,2000,4149
Rutherford,2010,67810
Rutherford,2000,62901
Vance,2000,42954
Washington,2010,13228
Surry,1990,61704
Wilkes,2020,65969
Wilson,2000,73811
Union,1990,84210
Vance,2010,45422
Wilkes,1990,59393
Wake,2020,1129410
Warren,2000,19972
Warren,2020,18642
Wayne,2010,122623
Yancey,2010,17818
Wayne,1990,104666
Yadkin,1990,30488
Alamance,2020,171415
Avery,2000,17167
Bladen,2000,32278
Buncombe,2010,238318
Buncombe,2020,269452
Burke,2020,87570
Caldwell,1990,70709
Caldwell,2020,80652
Carteret,2010,66469
Caswell,2010,23719
Catawba,1990,118412
Cleveland,1990,84713
Craven,2020,100720
Davidson,2020,168930
Duplin,1990,39995
Durham,2020,324833
Edgecombe,2000,55606
Gaston,2010,206086
Greene,1990,15384
Guilford,2000,421048
Halifax,2000,57370
Harnett,1990,67833
Haywood,2010,59036
Haywood,1990,46942
Hertford,2020,21552
Hyde,2020,4589
McDowell,2020,44578
Mecklenburg,2000,695370
Moore,2010,88247
Nash,2010,95840
Nash,2000,87385
Onslow,2000,150355
Orange,2010,133801
Pamlico,2020,12276
Pender,2020,60203
Perquimans,1990,10447
Person,2010,39464
Polk,1990,14416
Polk,2020,19328
Richmond,2010,46639
Richmond,2000,46557
Rockingham,2020,91096
Scotland,1990,33763
Stanly,1990,51765
Swain,1990,11268
Transylvania,2000,29334
Tyrrell,2010,4407
Vance,1990,38892
Wake,1990,426301
Washington,2000,13723
Wilkes,2010,69340
Wilson,1990,66061
Yadkin,2010,38406
Yancey,1990,15419
Alleghany,1990,9590
Beaufort,1990,42283
Beaufort,2000,44958
Bertie,1990,20388
Cabarrus,2010,178011
Cabarrus,1990,98935
Camden,2000,6885
Carteret,2020,67686
Catawba,2010,154358
Chatham,2000,49326
Chowan,2000,14150
Chowan,2020,13708
Cleveland,2020,99519
Columbus,2010,58098
Columbus,2000,54749
Currituck,2010,23547
Dare,2010,33920
Duplin,2010,58505
Duplin,2020,48715
Forsyth,2000,306063
Franklin,1990,36414
Gates,2010,12197
Graham,2000,7993
Greene,2010,21362
Halifax,1990,55516
Harnett,2010,114678
Hyde,1990,5411
Jackson,2000,33121
Johnston,1990,81306
Jones,1990,9414
Lincoln,2000,63780
Lincoln,2020,86810
Madison,2010,20764
Madison,2020,21193
Martin,2010,24505
